,Movie release year,year_ceremony,ceremony,category,Actor Name,Movie name,winner
0,1927,1928,1,ACTOR,Richard Barthelmess,The Noose,False
1,1927,1928,1,ACTOR,Emil Jannings,The Last Command,True
2,1927,1928,1,ACTRESS,Louise Dresser,A Ship Comes In,False
3,1927,1928,1,ACTRESS,Janet Gaynor,7th Heaven,True
4,1927,1928,1,ACTRESS,Gloria Swanson,Sadie Thompson,False
5,1928,1929,2,ACTOR,George Bancroft,Thunderbolt,False
6,1928,1929,2,ACTOR,Warner Baxter,In Old Arizona,True
7,1928,1929,2,ACTOR,Chester Morris,Alibi,False
8,1928,1929,2,ACTOR,Paul Muni,The Valiant,False
9,1928,1929,2,ACTOR,Lewis Stone,The Patriot,False
10,1928,1929,2,ACTRESS,Ruth Chatterton,Madame X,False
11,1928,1929,2,ACTRESS,Betty Compson,The Barker,False
12,1928,1929,2,ACTRESS,Jeanne Eagels,The Letter,False
13,1928,1929,2,ACTRESS,Corinne Griffith,The Divine Lady,False
14,1928,1929,2,ACTRESS,Bessie Love,The Broadway Melody,False
15,1928,1929,2,ACTRESS,Mary Pickford,Coquette,True
16,1929,1930,3,ACTOR,George Arliss,Disraeli,True
17,1929,1930,3,ACTOR,George Arliss,The Green Goddess,False
18,1929,1930,3,ACTOR,Wallace Beery,The Big House,False
19,1929,1930,3,ACTOR,Maurice Chevalier,The Big Pond,False
20,1929,1930,3,ACTOR,Ronald Colman,Bulldog Drummond,False
21,1929,1930,3,ACTOR,Lawrence Tibbett,The Rogue Song,False
22,1929,1930,3,ACTRESS,Nancy Carroll,The Devil's Holiday,False
23,1929,1930,3,ACTRESS,Ruth Chatterton,Sarah and Son,False
24,1929,1930,3,ACTRESS,Greta Garbo,Anna Christie,False
25,1929,1930,3,ACTRESS,Norma Shearer,The Divorcee,True
26,1929,1930,3,ACTRESS,Norma Shearer,Their Own Desire,False
27,1929,1930,3,ACTRESS,Gloria Swanson,The Trespasser,False
28,1930,1931,4,ACTOR,Lionel Barrymore,A Free Soul,True
29,1930,1931,4,ACTOR,Jackie Cooper,Skippy,False
30,1930,1931,4,ACTOR,Richard Dix,Cimarron,False
31,1930,1931,4,ACTOR,Fredric March,The Royal Family of Broadway,False
32,1930,1931,4,ACTOR,Adolphe Menjou,The Front Page,False
33,1930,1931,4,ACTRESS,Marlene Dietrich,Morocco,False
34,1930,1931,4,ACTRESS,Marie Dressler,Min and Bill,True
35,1930,1931,4,ACTRESS,Irene Dunne,Cimarron,False
36,1930,1931,4,ACTRESS,Ann Harding,Holiday,False
37,1930,1931,4,ACTRESS,Norma Shearer,A Free Soul,False
38,1931,1932,5,ACTOR,Wallace Beery,The Champ,True
39,1931,1932,5,ACTOR,Alfred Lunt,The Guardsman,False
40,1931,1932,5,ACTOR,Fredric March,Dr. Jekyll and Mr. Hyde,True
41,1931,1932,5,ACTRESS,Marie Dressler,Emma,False
42,1931,1932,5,ACTRESS,Lynn Fontanne,The Guardsman,False
43,1931,1932,5,ACTRESS,Helen Hayes,The Sin of Madelon Claudet,True
44,1932,1933,6,ACTOR,Leslie Howard,Berkeley Square,False
45,1932,1933,6,ACTOR,Charles Laughton,The Private Life of Henry VIII,True
46,1932,1933,6,ACTOR,Paul Muni,I Am a Fugitive from a Chain Gang,False
47,1932,1933,6,ACTRESS,Katharine Hepburn,Morning Glory,True
48,1932,1933,6,ACTRESS,May Robson,Lady for a Day,False
49,1932,1933,6,ACTRESS,Diana Wynyard,Cavalcade,False
50,1934,1935,7,ACTOR,Clark Gable,It Happened One Night,True
51,1934,1935,7,ACTOR,Frank Morgan,The Affairs of Cellini,False
52,1934,1935,7,ACTOR,William Powell,The Thin Man,False
53,1934,1935,7,ACTRESS,Claudette Colbert,It Happened One Night,True
54,1934,1935,7,ACTRESS,Bette Davis,Of Human Bondage,False
55,1934,1935,7,ACTRESS,Grace Moore,One Night of Love,False
56,1934,1935,7,ACTRESS,Norma Shearer,The Barretts of Wimpole Street,False
